id,Director
1891,Irvin Kershner
11,Irvin Kershner
57165,Jonathan Liebesman
100402,Anthony Russo
24226,Sidney Lumet
64690,Nicolas Winding Refn
22881,John Lee Hancock
470,Alejandro G. IÌÎå±ÌÎÌrritu
271110,Anthony Russo
425,Chris Wedge
10139,Gus Van Sant
590,Stephen Daldry
8363,Greg Mottola
615,Mel Gibson
824,Baz Luhrmann
18533,Nicolas Winding Refn
18240,Anne Fletcher
9036,Frank Marshall
9762,Anne Fletcher
188927,Justin Lin
245,Chris Weitz
712,Mike Newell
140823,John Lee Hancock
8536,Richard Lester
8055,Stephen Daldry
136795,Paul Feig
10316,George Clooney
14635,John Lee Hancock
9472,Rawson Marshall Thurber
11283,Kirk Jones
232679,Thomas Carter
9437,Gary Fleder
35688,Tyler Perry
17202,Tyler Perry
16781,Tyler Perry
24021,David Slade
8966,Catherine Hardwicke
18239,Chris Weitz
77987,Nicolas Winding Refn
153,Sofia Coppola
12193,Seth Gordon
180,Tom Cruise
74,Tom Cruise
744,Tom Cruise
2119,Tom Cruise
2604,Tom Cruise
137113,Tom Cruise
616,Tom Cruise
345,Tom Cruise
881,Tom Cruise
2253,Tom Cruise
954,Tom Cruise
37834,Tom Cruise
956,Tom Cruise
955,Tom Cruise
37233,Tom Cruise
177677,Tom Cruise
56292,Tom Cruise
1538,Tom Cruise
9390,Tom Cruise
1903,Tom Cruise
75780,Tom Cruise
87502,Denzel Washington
4982,Denzel Washington
9509,Denzel Washington
8963,Denzel Washington
44048,Denzel Washington
18487,Denzel Washington
156022,Denzel Washington
2034,Denzel Washington
9481,Denzel Washington
10684,Denzel Washington
9882,Denzel Washington
388,Denzel Washington
8470,Denzel Washington
41823,Denzel Washington
20504,Denzel Washington
136400,Denzel Washington
8467,Jim Carrey
17979,Jim Carrey
3594,Jim Carrey
8871,Jim Carrey
2123,Jim Carrey
100042,Jim Carrey
310,Jim Carrey
1624,Jim Carrey
3049,Jim Carrey
58224,Jim Carrey
854,Jim Carrey
10201,Jim Carrey
9894,Jim Carrey
38,Jim Carrey
37165,Jim Carrey
857,Tom Hanks
640,Leonardo DiCaprio
594,Tom Hanks
296098,Tom Hanks
88794,Leonardo DiCaprio
13,Tom Hanks
8358,Tom Hanks
5255,Tom Hanks
12113,Leonardo DiCaprio
118,Johnny Depp
62213,Johnny Depp
162,Johnny Depp
3933,Johnny Depp
106646,Leonardo DiCaprio
11324,Leonardo DiCaprio
1422,Leonardo DiCaprio
3131,Leonardo DiCaprio
1593,Ben Stiller
181533,Ben Stiller
18360,Ben Stiller
27205,Leonardo DiCaprio
13448,Tom Hanks
568,Tom Hanks
591,Tom Hanks
2619,Tom Hanks
1587,Johnny Depp
1372,Leonardo DiCaprio
866,Johnny Depp
59108,Ben Stiller
9384,Ben Stiller
58,Johnny Depp
862,Tom Hanks
109424,Tom Hanks
22,Johnny Depp
863,Tom Hanks
4147,Tom Hanks
285,Johnny Depp
4148,Leonardo DiCaprio
44896,Johnny Depp
953,Ben Stiller
1597,Ben Stiller
80321,Ben Stiller
2074,Ben Stiller
10527,Ben Stiller
693,Ben Stiller
116745,Ben Stiller
7446,Ben Stiller
1865,Johnny Depp
9398,Ben Stiller
1907,Leonardo DiCaprio
281957,Leonardo DiCaprio
64682,Leonardo DiCaprio
768,Johnny Depp
454,Leonardo DiCaprio
622,Johnny Depp
241259,Johnny Depp
9614,Adam Sandler
50546,Adam Sandler
9032,Adam Sandler
38365,Adam Sandler
10202,Adam Sandler
109418,Adam Sandler
10661,Adam Sandler
71880,Adam Sandler
257344,Adam Sandler
9339,Adam Sandler
10663,Adam Sandler
1824,Adam Sandler
9291,Adam Sandler
8810,Mel Gibson
44603,Matt Damon
286217,Matt Damon
39538,Matt Damon
11323,Matt Damon
2675,Mel Gibson
3595,Mel Gibson
2501,Matt Damon
2503,Matt Damon
2024,Mel Gibson
2502,Matt Damon
8834,Mel Gibson
943,Mel Gibson
944,Mel Gibson
324668,Matt Damon
9355,Mel Gibson
9659,Mel Gibson
2112,Mel Gibson
197,Mel Gibson
10590,Mel Gibson
152760,Matt Damon
1213,Matt Damon
74465,Matt Damon
68724,Matt Damon
1572,Bruce Willis
161,George Clooney
9802,Sean Connery
298,George Clooney
1389,George Clooney
95,Bruce Willis
163,George Clooney
415,George Clooney
745,Bruce Willis
9741,Bruce Willis
23742,Bruce Willis
4944,George Clooney
562,Bruce Willis
83666,Bruce Willis
658,Sean Connery
22947,George Clooney
1573,Bruce Willis
36819,Sean Connery
681,Sean Connery
2133,George Clooney
711,Sean Connery
657,Sean Connery
65057,George Clooney
36670,Sean Connery
667,Sean Connery
1571,Bruce Willis
134,George Clooney
19959,Bruce Willis
6520,Sean Connery
11775,George Clooney
660,Sean Connery
47964,Bruce Willis
646,Sean Connery
85,Harrison Ford
89,Harrison Ford
87,Harrison Ford
217,Harrison Ford
2655,Harrison Ford
869,Mark Wahlberg
769,Robert De Niro
103,Robert De Niro
1598,Robert De Niro
524,Robert De Niro
134374,Mark Wahlberg
91314,Mark Wahlberg
8645,Mark Wahlberg
8292,Mark Wahlberg
280,Arnold Schwarzenegger
819,Robert De Niro
218,Arnold Schwarzenegger
7485,Mark Wahlberg
36955,Arnold Schwarzenegger
9654,Mark Wahlberg
9331,Harrison Ford
9869,Harrison Ford
62838,Robert De Niro
106,Arnold Schwarzenegger
45317,Mark Wahlberg
257211,Robert De Niro
9535,Robert De Niro
9593,Arnold Schwarzenegger
951,Arnold Schwarzenegger
9493,Arnold Schwarzenegger
6068,Harrison Ford
9268,Arnold Schwarzenegger
9772,Harrison Ford
1777,Robert De Niro
137093,Robert De Niro
9279,Arnold Schwarzenegger
296,Arnold Schwarzenegger
9281,Harrison Ford
77866,Mark Wahlberg
13051,Mark Wahlberg
879,Robin Williams
147441,Christian Bale
680,John Travolta
155,Christian Bale
49026,Christian Bale
272,Christian Bale
2976,John Travolta
318846,Christian Bale
801,Robin Williams
788,Robin Williams
9895,Robin Williams
4551,John Travolta
534,Christian Bale
10312,Robin Williams
2275,John Travolta
168672,Christian Bale
8012,John Travolta
7873,Christian Bale
754,John Travolta
9294,John Travolta
9208,John Travolta
207,Robin Williams
621,John Travolta
2959,Robin Williams
11322,Christian Bale
9928,Robin Williams
489,Robin Williams
688,Meryl Streep
9374,Meryl Streep
4105,Michael Douglas
1900,Michael Douglas
9737,Will Smith
807,Brad Pitt
2649,Michael Douglas
9798,Will Smith
16869,Brad Pitt
33909,Michael Douglas
10483,Jason Statham
4476,Brad Pitt
72190,Brad Pitt
315664,Meryl Streep
9087,Michael Douglas
8984,Michael Douglas
228150,Brad Pitt
6479,Will Smith
602,Will Smith
6073,Brad Pitt
41154,Will Smith
22897,Meryl Streep
297761,Will Smith
107,Jason Statham
606,Meryl Streep
652,Brad Pitt
4108,Jason Statham
9335,Jason Statham
8488,Will Smith
8848,Jason Statham
224141,Meryl Streep
350,Meryl Streep
12103,Michael Douglas
2048,Will Smith
10998,Michael Douglas
1948,Jason Statham
204082,Jason Statham
1164,Brad Pitt
15092,Jason Statham
